uid,area,gerente,fecha,banda,calificacion,salario,seguro,vales
R08041,Ventas,Noble Portis  ,42594,Banda 16,2,16466.4,823.32,1975.968
G-7722,Ventas,Veola Frase  ,42213,Banda 15,5,13975,1118,279.5
L08082,Ventas,Susanna Vosburgh  ,41448,Banda 17,2,24424.2,1709.694,3175.146
L08129,Ventas,Erich Gattis  ,41632,Banda 16,3,16214,1297.12,810.7
R07774,Ventas,Frankie Koester  ,40583,Banda 18,3,30051,1803.06,4207.14
G07932,Ventas,Geraldo Marty  ,42426,Banda 15,2,8820.9,441.045,529.254
G-8322,Ventas,Della Muniz  ,40554,Banda 15,3,12931,1293.1,1551.72
R07408,Ventas,Daysi Armas  ,40875,Banda 15,3,13310,1197.9,1464.1
A-7354,Ventas,Sandy Faison  ,40993,Banda 15,2,8110.8,648.864,162.216
A07977,Ventas,Emmy Trader  ,41708,Banda 17,3,23895,1911.6,3584.25
L07998,Ventas,Tanner Cambridge  ,41067,Banda 15,4,10929.6,765.072,546.48
G07702,Ventas,Jeni Buchman  ,42366,Banda 15,2,12494.7,1249.47,1624.311
G-7920,Ventas,Oneida Cosio  ,42709,Banda 15,1,9478.5,663.495,1326.99
G-7883,Ventas,Kimi Witter  ,41176,Banda 15,2,13221,1322.1,528.84
R-8238,Ventas,Kristan Botelho  ,41675,Banda 15,4,16069.9,1446.291,1285.592
L-8195,Ventas,Graciela Hufford  ,40509,Banda 16,2,12812.4,768.744,1793.736
L07386,Ventas,Erich Gattis  ,40913,Banda 16,2,18124.2,1449.936,724.968
R-7679,Ventas,Sandy Mcgrady  ,41828,Banda 15,2,13037.4,912.618,391.122
R07926,Ventas,Veola Frase  ,42876,Banda 18,3,40327,2016.35,403.27
G-7634,Ventas,Audrea Franke  ,41336,Banda 19,2,44712.9,2682.774,4918.419
G07675,Ventas,Jordon Deschamp  ,40716,Banda 16,3,19634,1963.4,1570.72
A07603,Ventas,Ileen Reynosa  ,40937,Banda 15,1,6310.5,504.84,567.945
G-8362,Ventas,Sterling Huston  ,42282,Banda 19,5,56535,2826.75,565.35
L-8026,Ventas,Janene Wellman  ,41204,Banda 15,2,9229.5,738.36,1107.54
R-7903,Ventas,Roosevelt Saleem  ,41043,Banda 15,3,12096,604.8,604.8
A-8073,Ventas,Ileen Reynosa  ,41454,Banda 17,4,24637.8,2463.78,1971.024
G08298,Ventas,Shonta Stefan  ,41181,Banda 17,4,34478.4,1723.92,4826.976
A08297,Ventas,Tanner Cambridge  ,40671,Banda 15,2,12569.4,754.164,1256.94
R07803,Ventas,Gerente,42106,Banda 19,3,61334,3680.04,8586.76
A-7337,Ventas,Susanna Vosburgh  ,41375,Banda 15,3,10699,641.94,106.99
L-7458,Ventas,Sarai Darosa  ,42656,Banda 17,4,23174.8,1158.74,695.244
R-8448,Ventas,Gerente,42951,Banda 15,3,10747,537.35,1074.7
A07637,Ventas,Ladawn Karner  ,41618,Banda 15,3,13104,917.28,1179.36
A-7917,Ventas,Erich Gattis  ,40595,Banda 16,3,22676,1587.32,1587.32
G07453,Ventas,Aretha Newbern  ,40606,Banda 15,2,12744.9,764.694,1274.49
A-8167,Ventas,Gabrielle Merriman  ,42707,Banda 17,3,23373,1869.84,2571.03
R-8124,Ventas,Della Muniz  ,42492,Banda 15,4,10362,518.1,310.86
A-7392,Ventas,Krystyna Summerlin  ,41855,Banda 16,3,16990,1529.1,2208.7
G08209,Ventas,Janene Wellman  ,42792,Banda 16,4,23399.2,1403.952,1169.96
G08499,Ventas,Veola Frase  ,42703,Banda 15,4,11255.2,787.864,225.104
R07615,Ventas,Lourie Ealy  ,41625,Banda 15,3,8034,803.4,1205.1
A07893,Ventas,Daysi Armas  ,42619,Banda 15,1,8013.75,721.2375,961.65
A-8274,Ventas,Concepcion Sevin  ,41071,Banda 15,3,11654,932.32,1631.56
G07719,Ventas,Jeni Buchman  ,42604,Banda 15,2,11808,590.4,1062.72
R07599,Ventas,Lynne Gainey  ,42101,Banda 15,5,10005,600.3,1000.5
A-7505,Ventas,Margurite Everton  ,41574,Banda 15,5,18107.5,1810.75,1086.45
A-8189,Ventas,Shannan Dingess  ,43032,Banda 17,3,22753,1592.71,2730.36
R07917,Ventas,Kristan Botelho  ,41492,Banda 15,3,15448,1544.8,926.88
L-8127,Ventas,Gabrielle Merriman  ,42915,Banda 16,3,17343,1734.3,1387.44
A-8300,Ventas,Margareta Schwing  ,43036,Banda 15,3,14956,1346.04,149.56
L-7422,Ventas,Colene Apicella  ,40747,Banda 17,2,25749,2317.41,1287.45
A07796,Ventas,Enrique KeRHer  ,41157,Banda 15,2,8554.5,427.725,769.905
L07883,Ventas,Sandy Faison  ,41818,Banda 15,3,8210,574.7,1149.4
R07527,Ventas,Mayme Gorney  ,42877,Banda 15,4,12655.5,632.775,1771.77
R-7773,Ventas,Shonta Stefan  ,41977,Banda 17,3,30895,3089.5,3398.45
R-8440,Ventas,Wade Landen  ,41105,Banda 15,2,12447.9,1244.79,497.916
R-7889,Ventas,Henry Maberry  ,42356,Banda 15,4,16845.4,1010.724,505.362
L08080,Ventas,Margurite Everton  ,41002,Banda 17,4,32683.2,2614.656,1634.16
L-7640,Ventas,Kandace Navin  ,41027,Banda 15,4,12278.2,1227.82,613.91
A-7992,Ventas,Hanh Kohut  ,41165,Banda 17,3,28503,1425.15,3135.33
G-8009,Ventas,Lean Hersom  ,41336,Banda 15,3,14298,1143.84,285.96
G07941,Ventas,Juliet Pass  ,42174,Banda 15,4,11526.9,806.883,1037.421
L-8358,Ventas,Brigida Arzate  ,41836,Banda 15,3,15373,1383.57,1383.57
L-7703,Ventas,Justa Boer  ,41617,Banda 19,2,56504.7,2825.235,3955.329
A08083,Ventas,Gerente,41938,Banda 15,5,17430,1045.8,1917.3
R08315,Ventas,Porsche Lockamy  ,42283,Banda 15,2,12327.3,739.638,246.546
L-7497,Ventas,Candelaria Loya  ,41271,Banda 16,3,19993,1599.44,399.86
G-8148,Ventas,Candelaria Loya  ,42271,Banda 19,1,45610.5,2280.525,456.105
G-7419,Ventas,Kelley Bonenfant  ,42563,Banda 15,3,13065,1045.2,1045.2
L07554,Ventas,Idell Ding  ,41823,Banda 15,3,12427,869.89,869.89
G-7399,Ventas,Tomoko Vierra  ,42243,Banda 15,2,11667.6,1166.76,1283.436
G07318,Ventas,Cristopher Stroble  ,41989,Banda 15,4,14733.4,1031.338,1473.34
G08432,Ventas,Colene Apicella  ,42881,Banda 15,1,11303.25,904.26,1695.4875
L-7824,Ventas,Leontine Longacre  ,40619,Banda 15,2,12726.9,1145.421,763.614
L-7635,Ventas,Jayme Tolleson  ,42783,Banda 17,3,29658,2669.22,1482.9
A07634,Ventas,Mayme Gorney  ,42039,Banda 16,3,21392,1711.36,2139.2
L-8474,Ventas,Lean Hersom  ,40851,Banda 15,4,15840,792,792
R07896,Ventas,Davina Farraj  ,41808,Banda 17,3,25467,2546.7,1018.68
L-7613,Ventas,Aisha Fermin  ,42986,Banda 18,4,48271.3,4827.13,4827.13
L07987,Ventas,Audrie Ehlert  ,40639,Banda 16,4,18421.7,921.085,2763.255
R07770,Ventas,Kandace Navin  ,41715,Banda 15,2,9891,494.55,1285.83
G-8407,Ventas,Noble Portis  ,41806,Banda 15,3,9354,748.32,1216.02
L08153,Ventas,Lyla Falzone  ,41020,Banda 16,4,20654.7,1858.923,2891.658
L-8140,Ventas,Daysi Armas  ,40769,Banda 17,3,22204,1776.32,888.16
G07453,Ventas,Davina Farraj  ,40790,Banda 18,4,44003.3,4400.33,1760.132
R08061,Ventas,Tomoko Vierra  ,41030,Banda 15,4,12920.6,775.236,258.412
L-8019,Ventas,Shenika Lamont  ,42749,Banda 17,3,23477,2112.93,939.08
G08083,Ventas,Nelia Sellner  ,42390,Banda 16,5,21997.5,1539.825,2859.675
G-7673,Ventas,Ladawn Karner  ,41687,Banda 15,2,10652.4,745.668,852.192
A08294,Ventas,Kimberely Houtz  ,42573,Banda 16,4,16109.5,1288.76,1449.855
R08224,Ventas,Geraldo Marty  ,42074,Banda 15,4,13363.9,668.195,1336.39
A-7910,Ventas,Earnest Anderton  ,41766,Banda 16,3,18501,1665.09,370.02
R-8460,Ventas,Roosevelt Saleem  ,42227,Banda 16,2,13682.7,957.789,1231.443
G08244,Ventas,Earnest Anderton  ,40793,Banda 15,2,9939.6,496.98,496.98
R08086,Ventas,Elayne Gauger  ,41187,Banda 15,4,15951.1,957.066,478.533
G-7941,Ventas,Lynne Gainey  ,40672,Banda 15,4,8856.1,885.61,619.927
L08495,Ventas,Leontine Longacre  ,41405,Banda 15,5,19333.75,1353.3625,1160.025
G-8410,Ventas,Krystyna Summerlin  ,40835,Banda 16,4,17642.9,1235.003,352.858
L-8488,Ventas,Davina Farraj  ,42848,Banda 16,1,13871.25,832.275,832.275
A-8219,Ventas,Aretha Newbern  ,41294,Banda 18,3,38315,2298.9,4214.65
R-7494,Ventas,Marinda Skelley  ,42840,Banda 15,4,13454.1,1345.41,672.705
L07504,Software,Audrie Ehlert  ,41758,Banda 16,4,17983.9,1438.712,899.195
L08156,Software,Mayme Gorney  ,40734,Banda 15,2,13825.8,691.29,1244.322
A-7959,Hardware,Charisse Weist  ,41580,Banda 15,2,9327.6,466.38,1026.036
L07720,Software,Juliet Pass  ,41826,Banda 17,2,21993.3,1759.464,219.933
R07372,Software,Valeria Boothby  ,42283,Banda 15,2,8620.2,689.616,862.02
L07396,Software,Quinn Coller  ,41263,Banda 15,4,13138.4,1313.84,1970.76
R08373,Software,Emmy Trader  ,40621,Banda 16,2,15708.6,942.516,1099.602
R-8110,Hardware,Trudy Gaulding  ,42876,Banda 15,3,10481,1048.1,1362.53
A-7601,Software,Edwardo Hardrick  ,42537,Banda 15,2,12591.9,881.433,1007.352
R-7685,Software,Ileen Reynosa  ,40709,Banda 16,3,22304,1561.28,3345.6
L08147,Hardware,Saundra Smiddy  ,40503,Banda 15,3,12629,631.45,252.58
L-7860,Hardware,Trudy Gaulding  ,42487,Banda 15,1,8881.5,710.52,1332.225
G-7675,Hardware,Noble Portis  ,42961,Banda 15,3,13800,828,1932
A-7844,Marketing,Erich Gattis  ,42182,Banda 17,3,21643,1515.01,649.29
G-8497,Hardware,Lindsey Eckel  ,42896,Banda 15,2,11007,990.63,1210.77
A-7797,Assembly,Graciela Hufford  ,40700,Banda 17,3,22472,1797.76,2471.92
L07619,Assembly,Leontine Longacre  ,42537,Banda 17,3,21096,1054.8,2109.6
G07393,Marketing,Jordon Deschamp  ,40809,Banda 17,4,23881,1671.67,1432.86
R07916,Hardware,Nelia Sellner  ,42927,Banda 16,3,17220,1205.4,2066.4
A-7431,Assembly,Leontine Longacre  ,41677,Banda 15,3,8761,613.27,438.05
G08012,Hardware,Emmy Trader  ,41014,Banda 15,2,13574.7,678.735,1628.964
A07942,Software,Leontine Longacre  ,40575,Banda 17,2,26539.2,1857.744,2123.136
R07593,Software,Ileen Reynosa  ,42541,Banda 17,1,20277,1419.39,2636.01
G-7793,Recursos Humanos,Geraldo Marty  ,42214,Banda 15,2,9685.8,484.29,387.432
A-8261,Hardware,Sandy Faison  ,42512,Banda 16,3,22056,1764.48,3087.84
R-8458,RESO,Frankie Koester  ,41668,Banda 16,3,21205,2120.5,1060.25
R08105,Software,Tyrell Herrmann  ,40583,Banda 15,3,9523,761.84,1047.53
G-7450,Recursos Humanos,Shannan Dingess  ,40773,Banda 16,3,21515,1936.35,215.15
G07516,Assembly,Sarai Darosa  ,42910,Banda 15,2,11332.8,793.296,1473.264
R08286,Hardware,Adelia Monty  ,42772,Banda 15,2,11862.9,830.403,593.145
A07419,Software,Lindsey Eckel  ,42766,Banda 15,5,10931.25,1093.125,1639.6875
A08144,Hardware,Graciela Hufford  ,42550,Banda 15,2,7434,446.04,446.04
A08002,Software,Kimberely Houtz  ,41932,Banda 18,3,34105,1705.25,3751.55
A-8470,Assembly,Edyth Judkins  ,40528,Banda 16,3,19532,1367.24,1171.92
R-7930,Software,Tyrell Herrmann  ,41041,Banda 20,2,96912.9,7753.032,9691.29
G-7846,Assembly,Sandy Faison  ,41563,Banda 15,3,11223,897.84,1683.45
G08400,Software,Sandy Faison  ,41006,Banda 15,4,16545.1,1654.51,827.255
R08253,Hardware,Willian Lahr  ,43026,Banda 16,5,25971.25,1558.275,3635.975
L07994,Hardware,Kandace Navin  ,42326,Banda 15,2,10853.1,1085.31,651.186
G-8393,Hardware,Nena Custis  ,42561,Banda 15,4,15115.1,1511.51,1662.661
A07947,Assembly,Nelia Sellner  ,42163,Banda 17,5,39883.75,1994.1875,3589.5375
A-7633,Administration,Margareta Schwing  ,41742,Banda 15,3,11242,562.1,224.84
A07387,Software,Jeni Buchman  ,41376,Banda 16,4,23274.9,2094.741,930.996
A-7364,Assembly,Tanner Cambridge  ,40524,Banda 17,4,29417.3,2353.384,882.519
R-8363,Software,Sterling Huston  ,42455,Banda 15,3,12507,1125.63,1375.77
A07385,Software,Johnette Chapple  ,42513,Banda 18,1,34617,2769.36,1038.51
R-7844,Assembly,Graciela Hufford  ,42986,Banda 15,3,9042,452.1,994.62
L08063,Software,Leontine Longacre  ,42911,Banda 17,4,31263.1,1563.155,2813.679
G07800,Software,Kimberely Houtz  ,41563,Banda 18,2,36993.6,2589.552,5179.104
R-8152,Assembly,Tyrell Herrmann  ,41110,Banda 15,4,16533,1157.31,2479.95
A07547,Assembly,Lynne Gainey  ,43023,Banda 16,2,14622.3,1169.784,146.223
G07717,Software,Kelley Bonenfant  ,42644,Banda 15,3,8115,405.75,243.45
G07547,RESO,Concepcion Sevin  ,41364,Banda 17,2,25467.3,1528.038,1782.711
R-7780,Software,Margareta Schwing  ,42598,Banda 17,2,28598.4,1429.92,1143.936
L07702,Business Services,Kimi Witter  ,40782,Banda 16,2,16262.1,1138.347,1788.831
G-8106,Recursos Humanos,Lindsey Eckel  ,42583,Banda 16,3,21338,1280.28,2133.8
A-7840,Assembly,Nena Custis  ,42716,Banda 17,4,24823.7,2234.133,2482.37
A-8387,Software,Ladawn Karner  ,41269,Banda 15,3,15317,1072.19,1684.87
R-7523,Assembly,Willian Lahr  ,42676,Banda 17,1,24462.75,2446.275,3180.1575
A07302,Hardware,Anastacia Delacruz  ,42232,Banda 15,4,16084.2,965.052,1447.578
R-8282,Software,Lean Hersom  ,42810,Banda 17,2,25673.4,2567.34,513.468
R07903,Software,Kelley Bonenfant  ,40672,Banda 15,3,9206,552.36,828.54
G-8399,RESO,Saundra Smiddy  ,41891,Banda 20,4,87215.7,5232.942,12210.198
L-8440,Software,Edwardo Hardrick  ,42281,Banda 18,3,42831,3854.79,2141.55
R-8171,Administration,Coreen Washer  ,42217,Banda 17,2,24055.2,1924.416,2886.624
R07444,Software,Sterling Huston  ,42549,Banda 15,3,8492,594.44,1273.8
R07859,Software,Elayne Gauger  ,42556,Banda 16,2,16329.6,1306.368,163.296
A07792,Marketing,Lynne Gainey  ,40995,Banda 15,3,12530,1127.7,1378.3
L-7709,Software,Kandace Navin  ,42864,Banda 16,4,21159.6,1481.172,1692.768
A-8424,Hardware,Gemma Percell  ,40517,Banda 15,2,8002.8,480.168,160.056
G-7446,Hardware,Ileen Reynosa  ,42981,Banda 19,2,55270.8,3316.248,8290.62
L07347,Hardware,Jayme Tolleson  ,40703,Banda 15,3,12947,906.29,1812.58
L-8497,Assembly,Shannan Dingess  ,40501,Banda 16,1,16269.75,813.4875,1138.8825
G07426,Software,Kandace Navin  ,41838,Banda 16,4,23828.2,1429.692,476.564
R-7793,Administration,Audrea Franke  ,41409,Banda 15,3,8885,444.25,1155.05
L08312,Assembly,Leontine Longacre  ,41960,Banda 15,2,11123.1,667.386,1001.079
L08282,Assembly,Emmy Trader  ,41931,Banda 15,5,15415,1541.5,1387.35
A07394,Hardware,Tanner Cambridge  ,43044,Banda 16,5,18797.5,1879.75,1691.775
G07997,Administration,Coreen Washer  ,42173,Banda 15,3,10675,960.75,213.5
R-7903,Assembly,Enrique Kehrer  ,40580,Banda 15,3,10147,1014.7,1420.58
L-8097,Assembly,Quinn Coller  ,42482,Banda 15,3,11106,888.48,666.36
A07671,Assembly,Kimberely Houtz  ,42861,Banda 18,2,41416.2,2484.972,5384.106
A-8310,Hardware,Porsche Lockamy  ,40895,Banda 15,3,14261,855.66,1568.71
G07884,Software,Elton Verrier  ,41195,Banda 15,2,10926.9,546.345,1529.766
L07301,Hardware,Tanner Cambridge  ,41378,Banda 15,3,10289,720.23,1131.79
L-8444,Software,Ladawn Karner  ,41134,Banda 15,2,9647.1,964.71,771.768
L08381,Assembly,Sha Desimone  ,41518,Banda 16,3,22590,2259,3162.6
A-7318,Assembly,Candelaria Loya  ,42290,Banda 16,3,16293,814.65,651.72
G07477,Business Services,Lynne Gainey  ,42054,Banda 15,3,10615,955.35,1486.1
R07339,Hardware,Gabrielle Merriman  ,40501,Banda 16,2,18838.8,1695.492,1130.328
A-8168,Assembly,Sandy Faison  ,40884,Banda 15,3,8539,853.9,341.56
G-7897,Marketing,Sterling Huston  ,42328,Banda 15,3,12928,1034.24,1422.08
A-7946,Hardware,Valeria Boothby  ,41826,Banda 16,1,14443.5,1011.045,1588.785
R-8030,Software,Gabrielle Merriman  ,42110,Banda 20,4,98533.6,6897.352,14780.04
A07338,Business Services,Margarete Sauer  ,42985,Banda 16,3,17358,1562.22,2256.54
R07953,Software,Janene Wellman  ,42839,Banda 15,4,15750.9,787.545,1417.581
R08407,Hardware,Idell Ding  ,41346,Banda 15,3,10658,1065.8,1598.7
R07920,Assembly,Gemma Percell  ,41183,Banda 18,4,49881.7,4988.17,4489.353
A-7480,Hardware,Heide Kardos  ,41624,Banda 15,1,6621.75,397.305,595.9575
L07555,Assembly,Emmy Trader  ,42511,Banda 16,3,22278,2005.02,1559.46
R-7447,Business Services,Saundra Smiddy  ,41858,Banda 15,3,15176,1214.08,2124.64
A-8072,Assembly,Daysi Armas  ,40615,Banda 15,2,10795.5,971.595,1619.325
R07562,Assembly,Nathalie Boettcher  ,41103,Banda 15,3,14200,1420,284
A-7744,RESO,Sandy Faison  ,40728,Banda 17,3,21391,1283.46,855.64
A08184,Hardware,Tomoko Parente  ,42573,Banda 15,4,11691.9,701.514,1286.109
A-8288,Software,Lynne Gainey  ,42173,Banda 15,4,15900.5,1113.035,636.02
L-7972,Hardware,Elton Verrier  ,41925,Banda 16,3,20113,1609.04,2212.43
R-7418,Assembly,Oneida Cosio  ,41753,Banda 15,3,11943,597.15,1313.73
R07949,Software,Sha Desimone  ,40747,Banda 15,2,12753,1147.77,127.53
G07480,Administration,Daysi Armas  ,42356,Banda 15,2,8667.9,780.111,346.716
L-8264,Hardware,Johnette Chapple  ,41905,Banda 17,2,26094.6,2348.514,260.946
G07521,Assembly,Erich Gattis  ,40724,Banda 17,2,27212.4,2176.992,816.372
L-7780,Hardware,Jeni Buchman  ,41573,Banda 15,3,10535,526.75,632.1
G08050,Software,Sandy Faison  ,40969,Banda 16,3,16634,831.7,1829.74
G-8337,Software,Veola Frase  ,40967,Banda 15,4,9609.6,960.96,1249.248
R07449,Software,Shenika Lamont  ,42148,Banda 15,2,8977.5,628.425,448.875
G08266,Software,Porsche Lockamy  ,41029,Banda 15,5,18758.75,937.9375,1500.7
G-8163,Hardware,Kandace Navin  ,42219,Banda 15,3,11301,678.06,339.03
A08271,Hardware,Wade Landen  ,42719,Banda 15,3,12392,991.36,619.6
G08479,Software,Margareta Schwing  ,42037,Banda 15,3,10897,544.85,1198.67
R-7743,Software,Elma Matheney  ,40644,Banda 17,3,22526,1576.82,2027.34
L-8359,Assembly,Leontine Longacre  ,41390,Banda 18,5,55275,4974.75,552.75
L07843,Hardware,Janene Wellman  ,42387,Banda 15,3,8492,764.28,849.2
R-8248,Recursos Humanos,Gemma Percell  ,40516,Banda 15,2,9250.2,832.518,555.012
G-7732,Hardware,Audrea Franke  ,42299,Banda 16,4,15570.5,1557.05,778.525
R07767,Administration,Kandace Navin  ,42583,Banda 15,3,10468,1046.8,1465.52
R07343,Hardware,Lean Hersom  ,40654,Banda 15,4,15185.5,1366.695,911.13
A-8273,Assembly,Lynne Gainey  ,41482,Banda 15,4,12634.6,1137.114,1768.844
G-8042,Hardware,Ladawn Karner  ,41790,Banda 15,3,8331,416.55,249.93
A-8409,Business Services,Veola Frase  ,40888,Banda 15,2,8156.7,815.67,326.268
R-8402,Assembly,Wade Landen  ,40890,Banda 15,3,11223,1010.07,1458.99
L08362,Assembly,Lindsey Eckel  ,42349,Banda 16,4,15627.7,1406.493,1719.047
R07479,Hardware,Lean Hersom  ,42303,Banda 15,5,14958.75,897.525,448.7625
A08084,Marketing,Daysi Armas  ,41853,Banda 15,3,9532,571.92,571.92
R-7836,Hardware,Ileen Reynosa  ,41198,Banda 15,4,10820.7,541.035,757.449
L08002,Hardware,Tanner Cambridge  ,41367,Banda 15,4,8996.9,449.845,1169.597
G07308,Software,Shonta Stefan  ,42970,Banda 16,2,16182,1294.56,1456.38
A-8240,Software,Laverna Goble  ,41658,Banda 15,4,15884,794.2,2223.76
G07387,Hardware,Shenika Lamont  ,42111,Banda 15,3,14590,1021.3,145.9
L07826,Recursos Humanos,Hanh Kohut  ,42101,Banda 16,4,16127.1,967.626,645.084
A-7887,Software,Anastacia Delacruz  ,41062,Banda 18,3,39321,1966.05,786.42
A-7822,Software,Kelley Bonenfant  ,42339,Banda 16,3,20832,1458.24,2708.16
A07561,Software,Adalberto Mcferrin  ,40949,Banda 15,2,12397.5,1115.775,743.85
L-8140,Assembly,Mary Herb  ,42110,Banda 20,2,98352,7868.16,4917.6
G-8358,Hardware,Gaylord Damian  ,42328,Banda 16,3,14040,702,561.6
A-7315,Recursos Humanos,Sarai Darosa  ,42955,Banda 15,2,10476,838.08,1571.4
G08052,Software,Justa Boer  ,42262,Banda 16,4,16985.1,849.255,1019.106
L-7886,Software,Jayme Tolleson  ,42293,Banda 17,3,23630,2363,2363
G-8048,Hardware,Heide Kardos  ,42421,Banda 16,4,16926.8,846.34,1861.948
L08387,Hardware,Earnest Anderton  ,42575,Banda 15,3,8747,787.23,87.47
G08121,Software,Johnette Chapple  ,42065,Banda 15,3,11037,993.33,662.22
A-7881,Hardware,Gabrielle Merriman  ,40699,Banda 15,3,8273,579.11,1240.95
L07534,Administration,Santa Brister  ,43044,Banda 15,3,10515,630.9,841.2
G08325,Hardware,Laverna Goble  ,40729,Banda 15,3,13676,1230.84,1641.12
L-7428,Assembly,Kimberely Houtz  ,41655,Banda 16,4,24956.8,1746.976,3244.384
R07650,Software,Nathalie Boettcher  ,42968,Banda 15,2,9225,830.25,738
A-7727,Software,Pandora Chang  ,42110,Banda 15,3,13553,1084.24,1626.36
R-8213,Software,Elayne Gauger  ,42072,Banda 17,3,26614,1330.7,1064.56
R-7662,Hardware,Krystyna Summerlin  ,40531,Banda 17,2,23852.7,1431.162,1669.689
R-7677,Administration,Mary Herb  ,41642,Banda 16,3,17477,873.85,524.31
A07458,Hardware,Oneida Cosio  ,42420,Banda 15,4,14969.9,898.194,1796.388
A07894,Hardware,Gaylord Damian  ,40505,Banda 15,2,10042.2,903.798,502.11
R07934,Software,Adelia Monty  ,41570,Banda 15,3,10440,1044,104.4
R-7718,Hardware,Ileen Reynosa  ,41651,Banda 16,3,17312,1038.72,1038.72
L08046,Software,Mayra Stead  ,40789,Banda 18,1,30383.25,2126.8275,3342.1575
R07750,Software,Elayne Gauger  ,41993,Banda 15,4,11960.3,837.221,1076.427
R-8159,Hardware,Colene Apicella  ,42118,Banda 20,2,86279.4,4313.97,12079.116
A-8409,Business Services,Tanner Cambridge  ,41104,Banda 15,4,11326.7,906.136,1585.738
L07955,Software,Hanh Kohut  ,42280,Banda 15,2,10401.3,520.065,624.078
G07906,Assembly,Davina Farraj  ,42226,Banda 18,3,41808,2090.4,418.08
G-7423,Recursos Humanos,Leontine Longacre  ,40769,Banda 16,2,14857.2,1188.576,1634.292
A07795,Assembly,Wade Landen  ,41094,Banda 15,3,10425,625.5,312.75
G-8098,Hardware,Gabrielle Merriman  ,41941,Banda 17,4,25520,2041.6,2552
G-8232,RESO,Ileen Reynosa  ,42577,Banda 16,2,13545.9,1083.672,1354.59
L-8363,Assembly,Brigida Arzate  ,42680,Banda 17,3,32240,1934.4,1934.4
L08248,Software,Heide Kardos  ,40703,Banda 15,3,12575,1131.75,1257.5
L-7564,Software,Justa Boer  ,42306,Banda 16,4,20191.6,1817.244,3028.74
L-7641,Hardware,Janene Wellman  ,40649,Banda 16,3,21930,1754.4,657.9
R07902,RESO,Kimi Witter  ,42881,Banda 16,2,16553.7,1324.296,496.611
L07617,Assembly,Kimi Witter  ,41016,Banda 15,1,9930,496.5,496.5
R08376,Software,Gerente,42182,Banda 15,5,16826.25,1682.625,1850.8875
R-7454,Assembly,Charisse Weist  ,41417,Banda 15,3,13652,955.64,1228.68
L-8194,Hardware,Heide Kardos  ,41484,Banda 19,5,59032.5,2951.625,4722.6
R07805,Business Services,Gerente,43031,Banda 15,3,13656,955.92,1775.28
G07996,Assembly,Kristan Botelho  ,40689,Banda 17,4,32534.7,2928.123,325.347
R08414,Business Services,Santa Brister  ,41794,Banda 16,3,18022,1261.54,2703.3
G-7332,Hardware,Lyla Falzone  ,42730,Banda 17,3,30181,1509.05,1509.05
R-8388,Recursos Humanos,Shannan Dingess  ,41522,Banda 18,2,41622.3,3746.007,6243.345
A08196,Software,Laverna Goble  ,40888,Banda 15,3,10691,855.28,213.82
A07696,Assembly,Adelia Monty  ,41760,Banda 15,1,11225.25,785.7675,112.2525
L07665,Software,Sha Desimone  ,41297,Banda 15,3,10756,645.36,107.56
L-7793,Assembly,Mayme Gorney  ,42591,Banda 20,5,116675,7000.5,17501.25
R-7606,Hardware,Ileen Reynosa  ,42892,Banda 15,3,10571,634.26,528.55
A-7980,Hardware,Enrique Kehrer  ,40933,Banda 15,2,8210.7,574.749,328.428
R07443,Software,Henry Maberry  ,41269,Banda 17,4,28310.7,1698.642,1698.642
G-8343,Marketing,Audrea Franke  ,40614,Banda 15,4,15046.9,1354.221,300.938
R-7619,Assembly,Anastacia Delacruz  ,41730,Banda 16,3,18949,1705.41,568.47
R07367,Recursos Humanos,Shonta Stefan  ,40868,Banda 15,2,7354.8,661.932,147.096
A08104,Software,Pandora Chang  ,41833,Banda 15,2,11635.2,930.816,116.352
L07700,Business Services,Krystyna Summerlin  ,40814,Banda 15,4,9396.2,657.734,281.886
R-7428,Assembly,Cristopher Stroble  ,40678,Banda 15,3,8671,520.26,1213.94
G-7427,Software,Gabrielle Merriman  ,42679,Banda 17,2,22455.9,2245.59,3368.385
G-7372,Software,Santa Brister  ,42861,Banda 15,2,7896.6,552.762,1105.524
A-7912,Administration,Gerente,40574,Banda 15,2,9143.1,457.155,274.293
L-8345,Assembly,Brigida Arzate  ,42348,Banda 15,4,16775,838.75,1342
L07567,Assembly,Tyrell Herrmann  ,41599,Banda 15,3,13677,820.62,957.39
A-8007,Hardware,Nelia Sellner  ,42288,Banda 16,3,18944,1894.4,2652.16
L-8018,Software,Nathalie Boettcher  ,40834,Banda 16,5,27082.5,2437.425,3249.9
G08372,Assembly,Sandy Mcgrady  ,42998,Banda 15,4,9772.4,586.344,977.24
A-7996,Administration,Tomoko Parente  ,42397,Banda 16,3,17577,878.85,351.54
G-8105,Hardware,Sandy Mcgrady  ,42583,Banda 15,5,13151.25,657.5625,131.5125
R08043,Assembly,Lyla Falzone  ,41907,Banda 15,2,7447.5,521.325,74.475
A-8310,Recursos Humanos,Geraldo Marty  ,42115,Banda 17,4,27836.6,1391.83,1391.83
L-8493,Software,Mayme Gorney  ,42568,Banda 15,2,10877.4,870.192,217.548
L08030,Software,Candelaria Loya  ,42314,Banda 15,5,16012.5,1601.25,160.125
