uid,area,gerente,fecha,banda,calificacion,salario,seguro
A-8287,Hardware,Hanh Kohut  ,2014-10-10,Banda 15,5,14913.75,1043.9625
A-8288,Software,Sandy Faison  ,2013-09-28,Banda 18,2,35150.4,3163.5359999999996
A-8289,Software,Pandora Chang  ,2011-09-29,Banda 17,4,24147.2,1207.36
A-8300,Recursos Humanos,Kristan Botelho  ,2014-11-03,Banda 15,2,9289.8,836.082
A-8310,RESO,Adelia Monty  ,2013-07-27,Banda 15,4,9016.7,901.67
A-8317,Business Services,Johnette Chapple  ,2015-03-01,Banda 15,2,10521.0,631.26
A-8323,Assembly,Lean Hersom  ,2013-10-22,Banda 15,3,8702.0,783.18
A-8326,Software,Wade Landen  ,2017-02-03,Banda 15,3,14288.0,1143.04
A-8341,Assembly,Davina Farraj  ,2013-03-16,Banda 16,2,17191.8,1031.508
A-8351,Assembly,Jordon Deschamp  ,2016-02-06,Banda 18,3,36347.0,2180.82
A-8359,Hardware,Jeane Putney  ,2016-05-08,Banda 16,2,13761.9,825.7139999999999
A-8363,Finanzas,Trudy Gaulding  ,2012-11-30,Banda 15,3,11599.0,1043.91
A-8366,Finanzas,Margarete Sauer  ,2015-04-11,Banda 18,5,56388.75,3383.325
A-8370,Recursos Humanos,Kelley Bonenfant  ,2012-01-22,Banda 17,2,18924.3,1513.944
A-8372,Finanzas,Sarai Darosa  ,2016-12-25,Banda 15,3,15206.0,1520.6
A-8373,Gerencia,Clara Lamas  ,2011-05-15,Banda 16,4,24838.0,1738.66
A-8375,Ventas,Edyth Judkins  ,2015-09-11,Banda 15,2,10669.5,533.475
A-8377,Assembly,Herlinda Thorp  ,2016-10-03,Banda 15,4,14589.3,875.3580000000001
A-8381,Hardware,Earnest Anderton  ,2016-06-06,Banda 17,4,23105.5,1617.385
A-8382,Ventas,Santa Brister  ,2014-06-25,Banda 17,3,24495.0,2449.5
A-8387,Administration,Nelia Sellner  ,2011-01-04,Banda 15,2,13626.0,1362.6
A-8391,Software,Tomoko Parente  ,2017-01-21,Banda 18,3,45012.0,3150.84
A-8399,Administration,Henry Maberry  ,2016-08-15,Banda 17,5,28852.5,2019.675
A-8403,Marketing,Kelley Bonenfant  ,2013-01-23,Banda 15,2,8608.5,860.85
A-8408,Assembly,Adalberto Mcferrin  ,2014-03-29,Banda 16,3,22221.0,2222.1
A-8409,Ventas,Shannan Dingess  ,2012-01-25,Banda 16,2,16452.0,1316.16
A-8410,Finanzas,Mayra Stead  ,2014-05-02,Banda 15,2,13657.5,1229.175
A-8420,Assembly,Wade Landen  ,2013-10-17,Banda 16,2,15554.7,1088.829
A-8421,Finanzas,Nelia Sellner  ,2016-10-04,Banda 15,2,13384.8,1070.7839999999999
A-8423,Finanzas,Emmy Trader  ,2014-04-04,Banda 15,3,12956.0,777.36
A-8424,Business Services,Elma Matheney  ,2012-05-27,Banda 16,5,23216.25,1160.8125
A-8429,Finanzas,Jeni Buchman  ,2012-11-25,Banda 17,2,27891.0,1952.37
A-8431,Hardware,Mayme Gorney  ,2012-03-24,Banda 15,3,13350.0,1068.0
A-8433,Software,Veola Frase  ,2014-05-04,Banda 20,3,85265.0,5115.9
A-8436,Software,Sha Desimone  ,2011-07-23,Banda 15,2,12753.0,1147.77
A-8438,Hardware,Shonta Stefan  ,2013-07-10,Banda 16,2,19134.0,956.7
A-8444,Hardware,Emmy Trader  ,2016-12-31,Banda 15,3,15070.0,1054.9
A-8445,Assembly,Herlinda Thorp  ,2012-04-09,Banda 15,2,13099.5,916.965
A-8446,Assembly,Lindsey Eckel  ,2015-12-22,Banda 17,5,37341.25,3360.7125
A-8447,Assembly,Nelia Sellner  ,2017-10-26,Banda 16,3,21768.0,1959.12
A-8453,Ventas,Valeria Boothby  ,2016-12-12,Banda 15,2,11691.0,584.55
A-8454,Assembly,Concepcion Sevin  ,2012-04-11,Banda 17,3,23677.0,2367.7
A-8455,Finanzas,Margurite Everton  ,2013-06-30,Banda 15,4,9081.6,908.16
A-8467,Software,Kimberely Houtz  ,2015-08-31,Banda 15,1,9182.25,459.1125
A-8469,Assembly,Valeria Boothby  ,2016-06-19,Banda 15,3,12419.0,869.33
A-8470,Ventas,Ladawn Karner  ,2016-06-23,Banda 16,5,24158.75,2174.2875
A-8471,Software,Kelley Bonenfant  ,2016-04-17,Banda 15,2,11525.4,1037.286
A-8479,Recursos Humanos,Mary Herb  ,2010-12-15,Banda 16,3,15490.0,1549.0
A-8485,Marketing,Jayme Tolleson  ,2015-07-16,Banda 17,3,30924.0,2473.92
A-8486,Gerencia,Pandora Chang  ,2014-09-27,Banda 17,2,25893.9,1812.5729999999999
A-8488,Hardware,Cristopher Stroble  ,2015-04-25,Banda 15,3,13014.0,1041.12
A-8492,Hardware,Lourie Ealy  ,2014-05-24,Banda 16,3,17665.0,883.25
A-8493,Finanzas,Adalberto Mcferrin  ,2015-02-09,Banda 15,4,12850.2,1028.016
A-8495,Finanzas,Shannan Dingess  ,2017-02-04,Banda 15,4,9175.1,550.506
A-8496,Ventas,Lean Hersom  ,2016-07-15,Banda 19,5,65072.5,6507.25
G07301,Administration,Kimi Witter  ,2016-03-28,Banda 16,3,22131.0,2213.1
G07306,Finanzas,Sandy Mcgrady  ,2015-12-08,Banda 16,3,16460.0,987.6
G07308,Marketing,Idell Ding  ,2011-08-30,Banda 15,3,12987.0,1298.7
G07310,Assembly,Noble Portis  ,2013-12-16,Banda 17,3,32572.0,2605.76
G07311,Assembly,Janene Wellman  ,2011-06-22,Banda 15,3,13930.0,696.5
G07314,Assembly,Jordon Deschamp  ,2013-01-07,Banda 15,3,9811.0,784.88
G07318,Hardware,Geraldo Marty  ,2011-05-14,Banda 15,2,13206.6,792.3960000000001
G07322,Hardware,Erich Gattis  ,2016-01-13,Banda 17,3,22797.0,2051.73
G07325,Finanzas,Kimberely Houtz  ,2014-04-22,Banda 17,3,22605.0,1130.25
G07327,Assembly,Margarete Sauer  ,2017-10-30,Banda 17,5,29318.75,2931.875
G07328,Ventas,Earnest Anderton  ,2014-05-07,Banda 16,3,18501.0,1665.09
G07330,Software,Oneida Cosio  ,2013-06-03,Banda 15,3,11450.0,687.0
G07332,Finanzas,Kristan Botelho  ,2017-01-06,Banda 16,3,20785.0,1247.1
G07333,Hardware,Sarai Darosa  ,2012-07-26,Banda 15,3,12627.0,1262.7
G07334,Hardware,Tyrell Herrmann  ,2015-03-07,Banda 15,3,11275.0,1014.75
G07336,Finanzas,Nena Custis  ,2014-03-31,Banda 16,3,14841.0,1335.69
G07337,Hardware,Tyrell Herrmann  ,2011-10-06,Banda 15,3,13920.0,974.4
G07338,Hardware,Aisha Fermin  ,2016-10-27,Banda 15,3,11450.0,916.0
G07339,Finanzas,Candelaria Loya  ,2013-03-20,Banda 16,2,13999.5,979.965
G07342,Hardware,Tomoko Parente  ,2017-08-01,Banda 17,3,31861.0,3186.1
G07347,Finanzas,Audrea Franke  ,2016-08-13,Banda 15,3,11981.0,838.67
G07353,Assembly,Veola Frase  ,2015-08-23,Banda 16,5,18336.25,1833.625
G07361,Ventas,Sarai Darosa  ,2012-07-07,Banda 18,2,33377.4,1668.87
G07363,Software,Tanner Cambridge  ,2016-12-19,Banda 15,4,12095.6,604.78
G07365,Software,Audrea Franke  ,2015-08-04,Banda 15,4,12250.7,1225.07
G07366,Finanzas,Sha Desimone  ,2011-01-01,Banda 15,4,12325.5,1109.295
G07367,RESO,Saundra Smiddy  ,2014-05-11,Banda 15,2,10299.6,926.9639999999999
G07368,Software,Sterling Huston  ,2014-01-12,Banda 15,3,9793.0,685.51
G07371,Assembly,Elayne Gauger  ,2015-04-15,Banda 17,4,26205.3,1834.371
G07378,Assembly,Audrie Ehlert  ,2017-06-30,Banda 20,4,112634.5,9010.76
G07381,Assembly,Santa Brister  ,2015-10-22,Banda 17,3,29786.0,2978.6
G07383,Hardware,Kimberely Houtz  ,2011-03-11,Banda 15,3,11322.0,792.54
G07384,Assembly,Kristan Botelho  ,2012-09-04,Banda 15,3,12412.0,1117.08
G07387,Software,Tomoko Parente  ,2012-06-04,Banda 15,2,9302.4,744.192
G07393,Ventas,Aretha Newbern  ,2013-01-20,Banda 18,3,38315.0,2298.9
G07395,Assembly,Noble Portis  ,2013-09-21,Banda 17,3,27997.0,1399.85
G07396,Software,Kelley Bonenfant  ,2011-12-05,Banda 15,3,12799.0,639.95
G07398,Hardware,Santa Brister  ,2012-08-07,Banda 15,3,8158.0,489.48
G07399,Software,Marinda Skelley  ,2012-01-20,Banda 16,2,18306.9,1464.5520000000001
G07400,Software,Heide Kardos  ,2011-11-08,Banda 15,4,9406.1,940.61
G07402,Finanzas,Aretha Newbern  ,2012-02-05,Banda 17,4,31489.7,3148.97
G07405,Business Services,Charisse Weist  ,2013-12-21,Banda 15,3,12897.0,902.79
G07408,Hardware,Susanna Vosburgh  ,2014-08-01,Banda 15,3,11010.0,880.8
G07411,Finanzas,Graciela Hufford  ,2012-10-18,Banda 15,3,13464.0,942.48
G07414,Hardware,Lynne Gainey  ,2017-07-31,Banda 17,2,19268.1,1348.767
G07423,Hardware,Shenika Lamont  ,2017-08-13,Banda 15,4,11806.3,708.378
G07425,Software,Frankie Koester  ,2016-07-19,Banda 17,2,25473.6,2547.36
G07426,Business Services,Tanner Cambridge  ,2012-07-14,Banda 15,4,11326.7,906.1360000000001
G07427,Finanzas,Shannan Dingess  ,2013-11-14,Banda 15,2,12349.8,1111.482
G07428,Finanzas,Porsche Lockamy  ,2015-10-03,Banda 15,5,19026.25,1331.8375
G07431,RESO,Mayra Stead  ,2017-10-04,Banda 15,2,9360.0,748.8
G07433,Recursos Humanos,Daysi Armas  ,2014-08-04,Banda 15,3,8119.0,405.95
G07438,Software,Nathalie Boettcher  ,2017-07-18,Banda 17,3,27494.0,1924.58
G07439,Software,Margurite Everton  ,2014-04-04,Banda 15,3,10848.0,976.32
G07441,Assembly,Lindsey Eckel  ,2016-02-21,Banda 16,3,19833.0,1388.31
G07451,Hardware,Davina Farraj  ,2011-01-14,Banda 15,3,11228.0,673.68
G07453,Hardware,Enrique Kehrer  ,2012-01-25,Banda 15,2,8210.7,574.749
G07456,Software,Nathalie Boettcher  ,2013-11-24,Banda 16,3,22807.0,1824.56
G07461,Assembly,Justa Boer  ,2017-05-28,Banda 18,3,46614.0,3729.12
G07469,Software,Sandy Mcgrady  ,2017-05-29,Banda 17,3,32834.0,3283.4
G07471,Assembly,Valeria Boothby  ,2014-03-26,Banda 16,2,12600.9,1134.0810000000001
G07475,Hardware,January Heslop  ,2011-05-08,Banda 15,2,8469.0,677.52
G07476,Hardware,Tanner Cambridge  ,2012-07-19,Banda 15,2,8959.5,716.76
G07477,Software,Daysi Armas  ,2017-10-29,Banda 16,2,20295.0,1420.65
G07480,Ventas,Ladawn Karner  ,2013-12-10,Banda 15,3,13104.0,917.28
G07481,Ventas,Tomoko Vierra  ,2017-02-05,Banda 16,4,22331.1,2233.11
G07492,Software,Nathalie Boettcher  ,2016-12-30,Banda 18,3,46461.0,2787.66
G07495,Hardware,Earnest Anderton  ,2013-05-24,Banda 18,2,37214.1,2232.846
G07496,Business Services,Tomoko Vierra  ,2017-10-24,Banda 15,3,11265.0,675.9
G07499,Business Services,Tomoko Parente  ,2014-01-18,Banda 16,3,15454.0,1236.32
G07502,Software,Kimi Witter  ,2014-01-08,Banda 16,5,21261.25,2126.125
G07508,RESO,Sarai Darosa  ,2013-07-29,Banda 17,2,25269.3,2526.93
G07509,Finanzas,Kelley Bonenfant  ,2011-03-07,Banda 16,5,18235.0,1276.45
G07510,Recursos Humanos,Oneida Cosio  ,2015-12-08,Banda 19,4,57663.1,4036.417
G07513,Hardware,Brigida Arzate  ,2011-06-20,Banda 16,3,16826.0,1346.08
G07516,Assembly,Elma Matheney  ,2010-12-08,Banda 15,2,12991.5,1169.235
G07518,Assembly,Leontine Longacre  ,2017-01-11,Banda 18,2,29466.0,2062.62
G07521,Software,Brigida Arzate  ,2016-07-18,Banda 15,2,7381.8,369.09
G07522,Finanzas,Margareta Schwing  ,2016-08-24,Banda 15,3,13345.0,1334.5
G07524,RESO,Marinda Skelley  ,2012-11-09,Banda 17,3,31326.0,2192.82
G07526,Ventas,Lean Hersom  ,2013-04-06,Banda 16,1,16002.0,1120.14
G07527,Administration,Erich Gattis  ,2013-02-15,Banda 15,5,13112.5,1180.125
G07533,Finanzas,Justa Boer  ,2011-03-09,Banda 16,3,15173.0,1517.3
G07535,Hardware,Lindsey Eckel  ,2016-08-12,Banda 15,3,14892.0,1340.28
G07539,Software,Sterling Huston  ,2011-12-28,Banda 17,3,32699.0,2615.92
G07540,Ventas,Daysi Armas  ,2017-03-17,Banda 16,3,20713.0,1657.04
G07547,Marketing,Nena Custis  ,2017-05-31,Banda 15,2,10084.5,1008.45
G07548,Software,Nathalie Boettcher  ,2012-03-17,Banda 15,4,11568.7,1156.87
G07557,Software,Lourie Ealy  ,2014-01-15,Banda 17,4,31786.7,2542.936
G07560,Recursos Humanos,Edyth Judkins  ,2014-06-13,Banda 15,4,16861.9,1011.7139999999999
G07562,Hardware,Ladawn Karner  ,2016-09-13,Banda 16,3,15368.0,1383.12
G07563,Hardware,Oneida Cosio  ,2017-05-10,Banda 18,3,45983.0,3678.64
G07566,Assembly,Frankie Koester  ,2017-07-01,Banda 19,4,61525.2,4306.764
G07571,Software,Aretha Newbern  ,2016-09-08,Banda 15,3,12460.0,1246.0
G07573,Assembly,Emmy Trader  ,2012-11-23,Banda 16,3,18132.0,1450.56
G07580,Software,Jordon Deschamp  ,2013-06-10,Banda 16,2,14803.2,1184.256
G07586,Hardware,Sterling Huston  ,2016-02-16,Banda 15,3,14530.0,1017.1
G07587,Software,Tanner Cambridge  ,2012-03-23,Banda 15,4,8826.4,794.3760000000001
G07591,Software,Edwardo Hardrick  ,2014-05-23,Banda 15,1,6970.5,487.935
G07593,Assembly,Gemma Percell  ,2017-02-04,Banda 15,4,10582.0,952.38
G07595,Hardware,Jayme Tolleson  ,2011-06-09,Banda 15,3,12947.0,906.29
G07607,Finanzas,Santa Brister  ,2015-07-26,Banda 15,2,9771.3,781.704
G07608,Ventas,Kristan Botelho  ,2016-09-07,Banda 15,3,8690.0,695.2
G07612,Software,Ladawn Karner  ,2014-05-31,Banda 15,4,10074.9,1007.49
G07622,Business Services,Lyla Falzone  ,2014-08-02,Banda 15,4,16848.7,1684.87
G07623,Software,Laverna Goble  ,2012-09-12,Banda 17,2,28183.5,1691.01
G07625,Hardware,Nelia Sellner  ,2014-03-06,Banda 15,2,7488.9,748.89
G07633,Ventas,Sarai Darosa  ,2011-10-25,Banda 15,4,10489.6,734.2719999999999
G07638,Software,Candelaria Loya  ,2012-01-18,Banda 15,2,7586.1,758.61
G07642,Recursos Humanos,Justa Boer  ,2012-01-31,Banda 16,3,20213.0,1617.04
G07658,Assembly,Trudy Gaulding  ,2014-09-12,Banda 15,3,13051.0,1305.1
G07659,Software,Justa Boer  ,2015-09-15,Banda 16,4,16985.1,849.255
G07661,Software,Adalberto Mcferrin  ,2012-02-10,Banda 15,2,12397.5,1115.775
G07662,Hardware,Idell Ding  ,2013-02-28,Banda 15,4,15871.9,1111.0330000000001
G07664,Assembly,Charisse Weist  ,2013-12-04,Banda 15,2,8189.1,573.237
G07668,Marketing,Lynne Gainey  ,2012-03-27,Banda 15,3,12530.0,1127.7
G07670,Hardware,Wade Landen  ,2012-11-29,Banda 16,2,17808.3,890.415
G07672,Assembly,Erich Gattis  ,2013-03-24,Banda 15,3,13317.0,665.85
G07675,Business Services,Trudy Gaulding  ,2011-08-26,Banda 17,4,30982.6,3098.26
G07676,Gerencia,Laverna Goble  ,2015-10-13,Banda 17,3,31870.0,3187.0
G07680,Hardware,Graciela Hufford  ,2014-07-27,Banda 19,4,67743.5,5419.48
G07686,Recursos Humanos,Gemma Percell  ,2010-12-04,Banda 15,2,9250.2,832.518
G07687,Hardware,Lourie Ealy  ,2012-02-04,Banda 16,2,19914.3,1792.287
G07688,RESO,Jeane Putney  ,2012-12-30,Banda 19,3,56920.0,2846.0
G07691,RESO,Della Muniz  ,2015-04-02,Banda 15,4,15988.5,1279.08
G07692,Marketing,Geraldo Marty  ,2011-06-14,Banda 16,5,20268.75,1621.5
G07702,Ventas,Edwardo Hardrick  ,2011-06-16,Banda 16,4,24582.8,1720.796
G07712,Software,Saundra Smiddy  ,2015-12-03,Banda 17,4,27797.0,1667.82
G07713,Business Services,Edwardo Hardrick  ,2016-10-20,Banda 16,4,17675.9,1060.5539999999999
G07716,Software,Pandora Chang  ,2014-11-25,Banda 15,2,12936.6,1034.928
G07717,Assembly,Elton Verrier  ,2012-09-02,Banda 19,5,57580.0,4606.4
G07719,Software,Margareta Schwing  ,2015-07-13,Banda 16,3,21899.0,2189.9
G07723,Finanzas,Sha Desimone  ,2014-06-19,Banda 15,3,14115.0,1411.5
G07726,Hardware,Porsche Lockamy  ,2017-06-06,Banda 15,2,12257.1,1225.71
G07727,Assembly,Sha Desimone  ,2012-08-22,Banda 16,1,13143.75,1314.375
G07730,Gerencia,Janene Wellman  ,2014-12-30,Banda 18,3,41497.0,4149.7
G07737,Assembly,Tomoko Parente  ,2017-05-14,Banda 16,3,17949.0,1615.41
G07739,Software,Justa Boer  ,2015-02-09,Banda 15,3,12676.0,633.8
G07741,Software,Jayme Tolleson  ,2011-10-16,Banda 19,3,50222.0,2511.1
G07742,Assembly,Justa Boer  ,2014-02-22,Banda 15,4,15442.9,1081.003
G07743,Assembly,Charisse Weist  ,2017-05-31,Banda 18,2,32782.5,1639.125
G07745,Software,Adelia Monty  ,2015-03-04,Banda 17,3,31898.0,2870.82
G07752,Ventas,Trudy Gaulding  ,2015-03-05,Banda 15,4,13522.3,1217.007
G07756,Ventas,Krystyna Summerlin  ,2011-10-24,Banda 17,2,27171.9,2173.752
G07760,Assembly,Concepcion Sevin  ,2017-06-05,Banda 15,4,11348.7,1134.87
G07763,Finanzas,Concepcion Sevin  ,2014-05-12,Banda 15,2,12465.0,747.9
G07765,Hardware,Jayme Tolleson  ,2016-07-22,Banda 15,3,14242.0,1281.78
G07767,Marketing,Jeni Buchman  ,2013-12-03,Banda 15,3,11649.0,1048.41
G07770,Software,Gaylord Damian  ,2011-04-01,Banda 15,5,12603.75,630.1875
G07773,Hardware,Idell Ding  ,2016-06-11,Banda 18,2,27243.9,1634.634
G07774,Finanzas,Davina Farraj  ,2012-03-25,Banda 16,5,21375.0,1496.25
G07778,Recursos Humanos,Veola Frase  ,2016-12-25,Banda 16,2,15630.3,1250.424
G07785,Hardware,Herlinda Thorp  ,2016-04-05,Banda 15,3,13545.0,1219.05
G07788,Administration,Davina Farraj  ,2012-02-09,Banda 15,4,14340.7,1434.07
G07790,Finanzas,Mayme Gorney  ,2017-01-13,Banda 15,3,14461.0,1446.1
G07794,Software,Tyrell Herrmann  ,2013-02-09,Banda 16,2,19378.8,1162.728
G07797,Software,Lourie Ealy  ,2012-06-28,Banda 17,3,27312.0,2731.2
G07800,Recursos Humanos,Geraldo Marty  ,2015-04-21,Banda 17,4,27836.6,1391.83
G07801,Marketing,Edyth Judkins  ,2014-04-23,Banda 15,4,9385.2,844.668
G07802,Business Services,Lean Hersom  ,2016-10-21,Banda 15,4,9241.1,646.877
G07808,Finanzas,Gabrielle Merriman  ,2013-12-28,Banda 16,4,18401.9,1656.171
G07809,Finanzas,Ileen Reynosa  ,2012-11-07,Banda 15,3,13155.0,657.75
G07812,Software,Ileen Reynosa  ,2016-03-30,Banda 16,5,18828.75,1506.3
G07814,Hardware,Santa Brister  ,2015-09-14,Banda 15,4,11848.1,829.367
G07821,Assembly,Earnest Anderton  ,2016-11-02,Banda 15,3,12596.0,881.72
G07826,Ventas,Santa Brister  ,2014-12-12,Banda 15,3,9762.0,488.1
G07830,Software,Nathalie Boettcher  ,2016-07-22,Banda 16,3,18120.0,906.0
G07836,Software,Shannan Dingess  ,2013-06-11,Banda 16,4,19263.2,1541.056
G07847,Assembly,Tanner Cambridge  ,2011-09-14,Banda 17,4,33382.8,2336.7960000000003
G07851,Ventas,Elton Verrier  ,2011-05-10,Banda 15,4,13261.6,795.696
G07852,Hardware,Saundra Smiddy  ,2012-01-27,Banda 15,3,9378.0,656.46
G07853,Hardware,Audrie Ehlert  ,2014-04-03,Banda 18,2,35046.0,3154.14
G07858,Assembly,Nena Custis  ,2011-11-04,Banda 19,4,50884.9,5088.49
G07869,Ventas,Adalberto Mcferrin  ,2015-08-19,Banda 16,3,21694.0,1518.58
G07873,Ventas,Jeni Buchman  ,2015-12-28,Banda 15,2,12494.7,1249.47
G07875,Assembly,Saundra Smiddy  ,2010-11-16,Banda 15,2,8784.0,702.72
G07878,Assembly,Geraldo Marty  ,2017-03-18,Banda 17,3,30889.0,2162.23
G07884,Finanzas,Leontine Longacre  ,2013-04-27,Banda 15,4,11114.4,778.008
G07885,Assembly,Alysia Thaxton  ,2015-09-25,Banda 18,2,36000.9,1800.045
G07887,Recursos Humanos,Ladawn Karner  ,2014-01-30,Banda 16,4,25108.6,1255.43
G07889,Hardware,Porsche Lockamy  ,2017-09-07,Banda 17,2,28196.1,2255.688
G07892,Software,Jeni Buchman  ,2013-04-12,Banda 16,4,23274.9,2094.741
G07894,Hardware,Jordon Deschamp  ,2016-07-03,Banda 16,1,10542.0,527.1
G07895,Software,Nathalie Boettcher  ,2015-06-13,Banda 16,4,19983.7,1398.859
G07897,Hardware,Jeni Buchman  ,2017-03-29,Banda 15,2,13229.1,926.0369999999999
G07905,Software,Graciela Hufford  ,2015-06-08,Banda 16,3,20491.0,1844.19
G07906,Software,Sterling Huston  ,2013-04-11,Banda 18,4,36808.2,3312.738
G07907,Recursos Humanos,Valeria Boothby  ,2012-11-06,Banda 19,3,54093.0,2704.65
G07911,Software,Sterling Huston  ,2015-10-07,Banda 15,2,9600.3,672.0210000000001
G07919,Business Services,Idell Ding  ,2016-05-31,Banda 16,2,14377.5,1150.2
G07929,Finanzas,Veola Frase  ,2013-05-05,Banda 16,3,16265.0,1463.85
G07931,Software,Gabrielle Merriman  ,2016-11-05,Banda 17,2,22455.9,2245.59
G07932,Software,Henry Maberry  ,2016-02-01,Banda 18,3,40663.0,3253.04
G07936,Software,Elton Verrier  ,2012-10-13,Banda 15,2,10926.9,546.345
G07939,Software,Shenika Lamont  ,2012-01-29,Banda 17,2,19144.8,1531.5839999999998
G07941,Assembly,Sandy Mcgrady  ,2017-08-21,Banda 18,3,43655.0,2182.75
G07942,Ventas,Ileen Reynosa  ,2017-10-13,Banda 15,2,11007.0,880.56
G07943,RESO,Enrique Kehrer  ,2011-04-21,Banda 15,4,9938.5,993.85
G07956,Finanzas,Lindsey Eckel  ,2011-10-10,Banda 15,3,15366.0,768.3
G07959,Software,Ileen Reynosa  ,2016-11-11,Banda 16,4,24472.8,1957.8239999999998
G07961,Software,Mary Herb  ,2012-09-09,Banda 15,4,16933.4,1185.338
G07966,Assembly,Enrique Kehrer  ,2011-02-06,Banda 15,3,10147.0,1014.7
G07967,Marketing,Candelaria Loya  ,2014-06-03,Banda 15,5,12737.5,1273.75
G07968,RESO,Gabrielle Merriman  ,2013-02-10,Banda 20,4,125208.6,7512.516
G07970,Recursos Humanos,Nathalie Boettcher  ,2016-06-07,Banda 16,5,17628.75,1234.0125
G07971,Hardware,Geraldo Marty  ,2016-05-28,Banda 15,3,9087.0,726.96
G07972,Hardware,Earnest Anderton  ,2017-07-08,Banda 15,3,9035.0,632.45
G07974,Assembly,Jeane Putney  ,2011-04-18,Banda 15,4,10436.8,1043.68
G07984,Finanzas,Davina Farraj  ,2012-08-07,Banda 15,3,8290.0,497.4
G07985,Administration,Heide Kardos  ,2011-10-30,Banda 18,2,38324.7,3449.223
G07988,Hardware,Gaylord Damian  ,2016-12-28,Banda 16,2,15970.5,798.525
G07996,Finanzas,Clara Lamas  ,2012-05-03,Banda 16,3,15829.0,1424.61
G07997,Hardware,Gemma Percell  ,2010-12-05,Banda 15,2,8002.8,480.168
G07998,Ventas,Gerente,2017-08-04,Banda 15,3,10747.0,537.35
G07999,Assembly,Quinn Coller  ,2014-07-18,Banda 15,4,15541.9,1243.3519999999999
G08001,Recursos Humanos,Veola Frase  ,2014-05-22,Banda 15,4,10206.9,816.552
G08002,Administration,Juliet Pass  ,2017-10-02,Banda 16,3,20386.0,1019.3
G08004,Software,Colene Apicella  ,2014-02-07,Banda 19,4,58738.9,4699.112
G08006,Assembly,Earnest Anderton  ,2012-10-12,Banda 15,4,11466.4,573.32
G08012,Assembly,Valeria Boothby  ,2016-09-27,Banda 15,3,8585.0,515.1
G08013,Hardware,Jordon Deschamp  ,2017-08-03,Banda 15,3,11052.0,663.12
G08017,Software,Ileen Reynosa  ,2016-06-20,Banda 17,1,20277.0,1419.39
G08020,Assembly,Willian Lahr  ,2014-10-28,Banda 15,3,9951.0,597.06
G08021,Assembly,Colene Apicella  ,2012-04-03,Banda 16,4,16351.5,981.09
G08022,Assembly,Mary Herb  ,2016-10-02,Banda 15,2,7875.0,787.5
G08024,Software,Lyla Falzone  ,2017-11-04,Banda 15,5,18651.25,1865.125
G08025,Hardware,Leontine Longacre  ,2013-06-19,Banda 17,4,35770.9,3577.09
G08029,Recursos Humanos,Saundra Smiddy  ,2015-10-30,Banda 15,3,8343.0,834.3
G08030,Assembly,Lean Hersom  ,2013-04-16,Banda 17,5,31765.0,1905.9
G08032,Hardware,Tomoko Vierra  ,2016-09-29,Banda 17,3,21348.0,1921.32
G08037,Assembly,Sarai Darosa  ,2014-04-12,Banda 15,2,11912.4,1191.24
G08046,Assembly,Gabrielle Merriman  ,2015-04-11,Banda 19,2,38126.7,2287.6020000000003
G08049,Software,Kimi Witter  ,2015-04-27,Banda 15,3,10317.0,722.19
G08050,Ventas,Aretha Newbern  ,2011-04-14,Banda 16,5,26736.25,1871.5375
G08052,Hardware,Gaylord Damian  ,2015-02-13,Banda 20,4,76007.8,6080.624
G08059,Administration,Cristopher Stroble  ,2011-01-24,Banda 16,2,19286.1,1350.027
G08062,Hardware,Kimi Witter  ,2015-07-25,Banda 17,2,25935.3,1296.765
G08065,Software,Nelia Sellner  ,2017-02-07,Banda 16,5,20573.75,1645.9
G08070,Ventas,Aisha Fermin  ,2015-01-02,Banda 15,4,9805.4,686.378
G08076,Hardware,Lindsey Eckel  ,2013-03-24,Banda 16,2,18247.5,912.375
G08083,Software,Gerente,2012-11-22,Banda 16,3,15996.0,1119.72
G08084,Software,Idell Ding  ,2014-09-17,Banda 15,2,8433.9,759.051
G08086,Hardware,Tanner Cambridge  ,2017-03-09,Banda 16,3,14615.0,730.75
G08095,Assembly,Tyrell Herrmann  ,2012-11-10,Banda 15,2,9121.5,547.29
G08097,Assembly,Lynne Gainey  ,2013-02-17,Banda 15,5,10315.0,515.75
G08103,Software,Adalberto Mcferrin  ,2012-04-02,Banda 15,3,11619.0,1161.9
G08116,Marketing,Gabrielle Merriman  ,2011-05-17,Banda 15,5,17953.75,1795.375
G08117,Ventas,Leontine Longacre  ,2012-08-25,Banda 15,3,10868.0,869.44
G08119,Business Services,Kimberely Houtz  ,2014-01-21,Banda 15,2,11692.8,818.4960000000001
G08121,Software,Quinn Coller  ,2017-07-02,Banda 16,5,24768.75,1486.125
G08124,Ventas,Porsche Lockamy  ,2015-10-06,Banda 15,2,12327.3,739.638
G08126,Business Services,Veola Frase  ,2013-10-09,Banda 16,2,15516.0,1086.12
G08130,Software,Gabrielle Merriman  ,2015-04-16,Banda 20,4,98533.6,6897.352
G08134,Marketing,Sarai Darosa  ,2014-12-14,Banda 18,2,27713.7,1385.685
G08135,Software,January Heslop  ,2012-02-22,Banda 19,3,49547.0,4954.7
G08141,Ventas,Veola Frase  ,2015-07-28,Banda 15,5,13975.0,1118.0
